frame_number,x_offset,x_offset_meters
106,33.0,0.0145
121,28.0,0.0123
134,80.0,0.0351
148,95.0,0.0416
163,66.0,0.0289
180,12.0,0.0053
199,-26.0,-0.0114
214,-60.0,-0.0263
234,-96.0,-0.0421
249,-122.0,-0.0535
265,-70.0,-0.0307
281,-74.0,-0.0324
296,-70.0,-0.0307
312,-132.0,-0.0578
333,-206.0,-0.0903
348,-246.0,-0.1078
367,-258.0,-0.113
382,-277.0,-0.1214
400,-357.0,-0.1564
415,-402.0,-0.1761
430,-322.0,-0.1411
449,-249.0,-0.1091
469,-167.0,-0.0732
484,-156.0,-0.0683
503,-155.0,-0.0679
519,-116.0,-0.0508
536,-149.0,-0.0653
558,-186.0,-0.0815
577,-272.0,-0.1192
595,-317.0,-0.1389
617,-235.0,-0.103
634,-187.0,-0.0819
649,-78.0,-0.0342
669,-42.0,-0.0184
689,-29.0,-0.0127
710,-108.0,-0.0473
729,-126.0,-0.0552
752,-209.0,-0.0916
770,-238.0,-0.1043
785,-103.0,-0.0451
803,-57.0,-0.025
827,14.0,0.0061
842,-10.0,-0.0044
872,-55.0,-0.0241
905,-155.0,-0.0679
931,-153.0,-0.067
950,-134.0,-0.0587
975,-27.0,-0.0118
996,9.0,0.0039
1015,9.0,0.0039
1033,-29.0,-0.0127
1061,-155.0,-0.0679
1091,-132.0,-0.0578
1106,-95.0,-0.0416
1134,-20.0,-0.0088
1150,28.0,0.0123
1176,30.0,0.0131
1199,-39.0,-0.0171
1214,-112.0,-0.0491
1230,-148.0,-0.0648
1263,-143.0,-0.0627
1281,-50.0,-0.0219
1304,66.0,0.0289
1324,85.0,0.0372
1339,54.0,0.0237
1357,-39.0,-0.0171
1389,-152.0,-0.0666
1410,-249.0,-0.1091
1434,-122.0,-0.0535
1449,-37.0,-0.0162
1475,43.0,0.0188
1501,5.0,0.0022
1522,-74.0,-0.0324
1558,-166.0,-0.0727
1575,-153.0,-0.067
1594,-78.0,-0.0342
1609,20.0,0.0088
1654,25.0,0.011
1684,-109.0,-0.0478
1699,-129.0,-0.0565
1714,-155.0,-0.0679
1729,-166.0,-0.0727
1764,2.0,0.0009
1783,107.0,0.0469
1799,84.0,0.0368
1814,49.0,0.0215
1831,-6.0,-0.0026
1858,-105.0,-0.046
1879,-102.0,-0.0447
1895,-44.0,-0.0193
1913,16.0,0.007
1955,134.0,0.0587
1979,50.0,0.0219
2014,-46.0,-0.0202
2029,-164.0,-0.0719
2053,-129.0,-0.0565
2069,-57.0,-0.025
2089,52.0,0.0228
2116,6.0,0.0026
2133,-78.0,-0.0342
2151,-66.0,-0.0289
2188,-184.0,-0.0806
2202,-162.0,-0.071
2226,-131.0,-0.0574
2254,-43.0,-0.0188
2282,-45.0,-0.0197
2297,-78.0,-0.0342
2327,-127.0,-0.0556
2329,-112.0,-0.0491
2357,-103.0,-0.0451
2374,7.0,0.0031
2389,88.0,0.0386
2405,122.0,0.0535
2424,123.0,0.0539
2439,52.0,0.0228
2460,-74.0,-0.0324
2476,-24.0,-0.0105
2505,-57.0,-0.025
2521,41.0,0.018
2539,109.0,0.0478
2554,78.0,0.0342
2575,48.0,0.021
2593,-28.0,-0.0123
2626,-106.0,-0.0464
2644,-116.0,-0.0508
2664,-178.0,-0.078
2690,-83.0,-0.0364
2707,-3.0,-0.0013
2725,-25.0,-0.011
2749,-23.0,-0.0101
2764,-52.0,-0.0228
2783,-160.0,-0.0701
2804,-173.0,-0.0758
2820,-209.0,-0.0916
2836,-138.0,-0.0605
2868,-19.0,-0.0083
2883,48.0,0.021
2901,29.0,0.0127
2916,13.0,0.0057
2954,-116.0,-0.0508
2997,-85.0,-0.0372
3015,-17.0,-0.0074
3043,62.0,0.0272
3058,95.0,0.0416
3088,37.0,0.0162
3103,16.0,0.007
3132,-34.0,-0.0149
3154,-123.0,-0.0539
3195,2.0,0.0009
3196,-12.0,-0.0053
3226,32.0,0.014
3253,-26.0,-0.0114
3289,-172.0,-0.0754
3320,-218.0,-0.0955
3353,-82.0,-0.0359
3369,-5.0,-0.0022
3399,8.0,0.0035
3424,-35.0,-0.0153
3442,-91.0,-0.0399
3471,-92.0,-0.0403
3500,-28.0,-0.0123
3516,-23.0,-0.0101
3558,49.0,0.0215
3586,-12.0,-0.0053
3620,-88.0,-0.0386
3661,-30.0,-0.0131
3678,-18.0,-0.0079
3706,-1.0,-0.0004
3735,-35.0,-0.0153
3751,-107.0,-0.0469
3769,-84.0,-0.0368
3796,-120.0,-0.0526
3812,-58.0,-0.0254
3843,-45.0,-0.0197
3876,-4.0,-0.0018
3895,-82.0,-0.0359
3910,-98.0,-0.0429
3931,-166.0,-0.0727
3953,-133.0,-0.0583
3968,-76.0,-0.0333
3983,-81.0,-0.0355
4000,11.0,0.0048
4020,48.0,0.021
4048,-48.0,-0.021
4068,-19.0,-0.0083
4095,-131.0,-0.0574
4112,-137.0,-0.06
4127,-133.0,-0.0583
4142,-121.0,-0.053
4158,-94.0,-0.0412
4186,49.0,0.0215
4201,65.0,0.0285
4216,37.0,0.0162
4232,-60.0,-0.0263
4256,-146.0,-0.064
4271,-95.0,-0.0416
4286,-150.0,-0.0657
4301,-96.0,-0.0421
4323,-89.0,-0.039
4338,-35.0,-0.0153
4353,-22.0,-0.0096
4368,1.0,0.0004
4383,-9.0,-0.0039
4407,-80.0,-0.0351
4423,-137.0,-0.06
4439,-188.0,-0.0824
4474,-174.0,-0.0762
4491,-125.0,-0.0548
4506,-53.0,-0.0232
4525,-143.0,-0.0627
4546,-49.0,-0.0215
4571,-238.0,-0.1043
4586,-300.0,-0.1314
4607,-265.0,-0.1161
4622,-185.0,-0.0811
4658,-91.0,-0.0399
4673,-12.0,-0.0053
4697,26.0,0.0114
4719,-37.0,-0.0162
4734,-82.0,-0.0359
4753,-154.0,-0.0675
4769,-121.0,-0.053
4805,-76.0,-0.0333
4822,-32.0,-0.014
4845,14.0,0.0061
4865,10.0,0.0044
4880,25.0,0.011
4930,-135.0,-0.0591
4945,-145.0,-0.0635
4960,-128.0,-0.0561
4977,-113.0,-0.0495
4997,-17.0,-0.0074
5025,37.0,0.0162
5040,66.0,0.0289
5057,-40.0,-0.0175
5095,-151.0,-0.0662
5118,-200.0,-0.0876
5133,-212.0,-0.0929
5157,-90.0,-0.0394
5186,75.0,0.0329
5223,33.0,0.0145
5242,-35.0,-0.0153
5260,-123.0,-0.0539
5286,-145.0,-0.0635
5301,-157.0,-0.0688
5317,-77.0,-0.0337
5332,-38.0,-0.0166
5349,29.0,0.0127
5371,-9.0,-0.0039
5386,-25.0,-0.011
5401,-30.0,-0.0131
5417,-99.0,-0.0434
5432,-147.0,-0.0644
5447,-182.0,-0.0797
5463,-150.0,-0.0657
5478,-96.0,-0.0421
5493,-67.0,-0.0294
5510,41.0,0.018
5526,63.0,0.0276
5541,6.0,0.0026
5557,-5.0,-0.0022
5571,-28.0,-0.0123
5591,-90.0,-0.0394
5610,-134.0,-0.0587
5625,-61.0,-0.0267
5642,-64.0,-0.028
5657,-7.0,-0.0031
5672,31.0,0.0136
5691,138.0,0.0605
5709,138.0,0.0605
5725,82.0,0.0359
5755,-13.0,-0.0057
5771,-35.0,-0.0153
5790,-65.0,-0.0285
5806,-41.0,-0.018
5822,90.0,0.0394
5837,141.0,0.0618
5852,180.0,0.0789
5869,223.0,0.0977
5885,200.0,0.0876
5901,129.0,0.0565
5917,105.0,0.046
5936,81.0,0.0355
5957,22.0,0.0096
5972,51.0,0.0223
5987,90.0,0.0394
6002,86.0,0.0377
6017,191.0,0.0837
6032,161.0,0.0705
6054,189.0,0.0828
6069,133.0,0.0583
6087,107.0,0.0469
6102,87.0,0.0381
6120,34.0,0.0149
6137,14.0,0.0061
6152,17.0,0.0074
6170,102.0,0.0447
6196,199.0,0.0872
6212,230.0,0.1008
6233,182.0,0.0797
6248,150.0,0.0657
6264,98.0,0.0429
6281,37.0,0.0162
6299,39.0,0.0171
6316,78.0,0.0342
6333,122.0,0.0535
6349,160.0,0.0701
6364,144.0,0.0631
6379,132.0,0.0578
6399,143.0,0.0627
6418,66.0,0.0289
6440,64.0,0.028
6456,41.0,0.018
